"Month","Pollutants","Average"
"January","PM10",20.6869469086021
"January","NO",18.0508534475806
"January","NO2",31.7206716397849
"January","NOx_NO2",59.3982601545699
"February","PM10",22.6001341030195
"February","NO",11.1621731594635
"February","NO2",22.0975071460507
"February","NOx_NO2",39.2125998062593
"March","PM10",20.366814516129
"March","NO",8.17313739247312
"March","NO2",20.0194296370968
"March","NOx_NO2",32.5513977688172
"April","PM10",28.0064539877301
"April","NO",2.98473640972222
"April","NO2",18.6437139513889
"April","NOx_NO2",23.2202449166667
"May","PM10",20.307063172043
"May","NO",3.0181897311828
"May","NO2",13.9341701142473
"May","NOx_NO2",18.561995672043
"June","PM10",16.6434659722222
"June","NO",4.73933375694444
"June","NO2",14.9726357777778
"June","NOx_NO2",22.2395121736111
"July","PM10",12.2424539295393
"July","NO",7.60972960349462
"July","NO2",16.059327641129
"July","NOx_NO2",27.7274164112903
"August","PM10",15.2461508704062
"August","NO",7.93619159440559
"August","NO2",22.7038774335664
"August","NOx_NO2",34.8725341888112
"September","PM10",15.3344514731369
"September","NO",10.0229665694444
"September","NO2",22.9848979513889
"September","NOx_NO2",38.3532317361111
"October","PM10",13.2341362318841
"October","NO",11.5673895295699
"October","NO2",23.3676195833333
"October","NOx_NO2",41.1040352956989
"November","PM10",19.068931133429
"November","NO",9.16581041666667
"November","NO2",23.6754442916667
"November","NOx_NO2",37.7294905416667
"December","PM10",15.6879181415929
"December","NO",11.4497942405914
"December","NO2",24.6882393145161
"December","NOx_NO2",42.2443449865591
